Embryo_ID,Area,Mean,Min,Max,Median,Slice,Frame,MinThr,MaxThr
121216Spry_Y8_mov,20.757,51.159,40,98,48,21,3,40,65535
121216Spry_Y8_mov,12.561,53.384,40,99,50,22,3,40,65535
121216Spry_Y8_mov,9.421,51.431,40,121,49,23,3,40,65535
121216Spry_Y8_mov,6.204,50.531,40,81,46,24,3,40,65535
121216Spry_Y8_mov,4.213,50.273,40,81,49,25,3,40,65535
121216Spry_Y8_mov,2.221,47.483,40,68,45,26,3,40,65535
121216Spry_Y8_mov,2.911,48.842,40,71,45,27,3,40,65535
121216Spry_Y8_mov,1.762,54.522,40,101,52,28,3,40,65535
121216Spry_Y8_mov,2.068,48.63,40,62,47,29,3,40,65535
121216Spry_Y8_mov,0.153,45,45,45,45,30,3,40,65535
121216Spry_Y8_mov,0.23,61.667,43,71,71,31,3,40,65535
121216Spry_Y8_mov,0.23,67.667,65,69,69,32,3,40,65535
121216Spry_Y8_mov,0.077,47,47,47,47,33,3,40,65535
121216Spry_Y8_mov,0.077,62,62,62,62,34,3,40,65535
121216Spry_Y8_mov,0,NaN,65535,26,NaN,35,3,40,65535
121216Spry_Y8_mov,0.077,53,53,53,53,36,3,40,65535
121216Spry_Y8_mov,0,NaN,65535,19,NaN,37,3,40,65535
121216Spry_Y8_mov,0,NaN,65535,37,NaN,38,3,40,65535
121216Spry_Y8_mov,0,NaN,65535,20,NaN,39,3,40,65535
121216Spry_Y8_mov,0.077,41,41,41,41,40,3,40,65535
121216Spry_Y8_mov,0,NaN,65535,12,NaN,41,3,40,65535
121216Spry_Y8_mov,0.153,74.5,63,86,86,42,3,40,65535
121216Spry_Y8_mov,0,NaN,65535,11,NaN,43,3,40,65535
121216Spry_Y8_mov,0,NaN,65535,21,NaN,44,3,40,65535
121216Spry_Y8_mov,0,NaN,65535,12,NaN,45,3,40,65535
121216Spry_Y8_mov,0,NaN,65535,11,NaN,46,3,40,65535
121216Spry_Y8_mov,0,NaN,65535,12,NaN,47,3,40,65535
121216Spry_Y8_mov,0,NaN,65535,13,NaN,48,3,40,65535
121216Spry_Y8_mov,0,NaN,65535,15,NaN,49,3,40,65535
121216Spry_Y8_mov,251.686,63.418,40,189,57,1,4,40,65535
121216Spry_Y8_mov,243.337,70.557,40,208,62,2,4,40,65535
121216Spry_Y8_mov,281.864,70.702,40,229,63,3,4,40,65535
121216Spry_Y8_mov,300.553,68.797,40,226,62,4,4,40,65535
121216Spry_Y8_mov,274.664,71.831,40,320,61,5,4,40,65535
121216Spry_Y8_mov,187.271,67.743,40,277,59,6,4,40,65535
121216Spry_Y8_mov,121.094,68.754,40,342,55,7,4,40,65535
121216Spry_Y8_mov,125.766,69.732,40,313,58,8,4,40,65535
121216Spry_Y8_mov,133.349,65.219,40,223,56,9,4,40,65535
121216Spry_Y8_mov,92.908,60.644,40,200,53,10,4,40,65535
121216Spry_Y8_mov,78.738,57.326,40,137,53,11,4,40,65535
121216Spry_Y8_mov,60.279,56.482,40,137,51,12,4,40,65535
121216Spry_Y8_mov,34.773,53.383,40,124,49,13,4,40,65535
121216Spry_Y8_mov,34.927,53.289,40,136,50,14,4,40,65535
121216Spry_Y8_mov,40.365,53.565,40,129,51,15,4,40,65535
121216Spry_Y8_mov,39.905,54.697,40,111,49,16,4,40,65535
121216Spry_Y8_mov,41.284,52.529,40,110,48,17,4,40,65535
121216Spry_Y8_mov,42.433,54.875,40,128,51,18,4,40,65535
121216Spry_Y8_mov,34.314,53.31,40,99,51,19,4,40,65535
121216Spry_Y8_mov,18.995,49.879,40,104,47,20,4,40,65535
121216Spry_Y8_mov,15.702,51.571,40,105,48,21,4,40,65535
121216Spry_Y8_mov,7.966,51.212,40,107,46,22,4,40,65535
121216Spry_Y8_mov,5.285,52.435,40,91,48,23,4,40,65535
121216Spry_Y8_mov,4.213,51,40,87,47,24,4,40,65535
121216Spry_Y8_mov,4.596,50.517,40,102,48,25,4,40,65535
121216Spry_Y8_mov,3.983,50.212,40,74,49,26,4,40,65535
121216Spry_Y8_mov,2.068,53.296,41,89,50,27,4,40,65535
121216Spry_Y8_mov,0.766,56,43,85,56,28,4,40,65535
121216Spry_Y8_mov,0.077,58,58,58,58,29,4,40,65535
121216Spry_Y8_mov,0.23,52,45,60,51,30,4,40,65535
121216Spry_Y8_mov,0.153,44,42,46,46,31,4,40,65535
121216Spry_Y8_mov,0,NaN,65535,39,NaN,32,4,40,65535
121216Spry_Y8_mov,0,NaN,65535,23,NaN,33,4,40,65535
121216Spry_Y8_mov,0,NaN,65535,21,NaN,34,4,40,65535
121216Spry_Y8_mov,0.077,69,69,69,69,35,4,40,65535
121216Spry_Y8_mov,0,NaN,65535,35,NaN,36,4,40,65535
121216Spry_Y8_mov,0,NaN,65535,18,NaN,37,4,40,65535
121216Spry_Y8_mov,0,NaN,65535,21,NaN,38,4,40,65535
121216Spry_Y8_mov,0,NaN,65535,17,NaN,39,4,40,65535
121216Spry_Y8_mov,0,NaN,65535,21,NaN,40,4,40,65535
121216Spry_Y8_mov,0,NaN,65535,12,NaN,41,4,40,65535
121216Spry_Y8_mov,0,NaN,65535,20,NaN,42,4,40,65535
121216Spry_Y8_mov,0,NaN,65535,32,NaN,43,4,40,65535
121216Spry_Y8_mov,0,NaN,65535,12,NaN,44,4,40,65535
121216Spry_Y8_mov,0,NaN,65535,11,NaN,45,4,40,65535
121216Spry_Y8_mov,0,NaN,65535,12,NaN,46,4,40,65535
121216Spry_Y8_mov,0,NaN,65535,13,NaN,47,4,40,65535
121216Spry_Y8_mov,0,NaN,65535,12,NaN,48,4,40,65535
121216Spry_Y8_mov,0,NaN,65535,11,NaN,49,4,40,65535
121216Spry_Y8_mov,222.427,69.945,40,268,61,1,5,40,65535
121216Spry_Y8_mov,289.14,70.669,40,286,62,2,5,40,65535
121216Spry_Y8_mov,297.106,68.348,40,302,62,3,5,40,65535
121216Spry_Y8_mov,256.358,65.289,40,214,59,4,5,40,65535
121216Spry_Y8_mov,154.949,59.923,40,215,54,5,5,40,65535
121216Spry_Y8_mov,90.916,54.86,40,122,50,6,5,40,65535
121216Spry_Y8_mov,84.1,58.799,40,150,53,7,5,40,65535
121216Spry_Y8_mov,120.175,59.626,40,169,55,8,5,40,65535
121216Spry_Y8_mov,107.001,59.322,40,167,55,9,5,40,65535
121216Spry_Y8_mov,91.759,58.422,40,133,53,10,5,40,65535
121216Spry_Y8_mov,57.292,57.759,40,137,53,11,5,40,65535
121216Spry_Y8_mov,36.688,54.691,40,128,51,12,5,40,65535
121216Spry_Y8_mov,25.735,49.693,40,96,47,13,5,40,65535
121216Spry_Y8_mov,31.403,53.166,40,104,50,14,5,40,65535
121216Spry_Y8_mov,39.292,53.595,40,132,50,15,5,40,65535
121216Spry_Y8_mov,37.607,53.554,40,124,50,16,5,40,65535
121216Spry_Y8_mov,45.65,55.077,40,132,51,17,5,40,65535
121216Spry_Y8_mov,39.446,53.381,40,124,49,18,5,40,65535
121216Spry_Y8_mov,29.565,53.596,40,135,50,19,5,40,65535
121216Spry_Y8_mov,19.378,52.419,40,99,50,20,5,40,65535
121216Spry_Y8_mov,9.498,50.79,40,108,46,21,5,40,65535
121216Spry_Y8_mov,3.294,49.605,40,74,46,22,5,40,65535
121216Spry_Y8_mov,3.983,55.712,40,90,54,23,5,40,65535
121216Spry_Y8_mov,3.6,49.064,40,70,50,24,5,40,65535
121216Spry_Y8_mov,3.753,47.122,40,75,44,25,5,40,65535
121216Spry_Y8_mov,3.983,51.288,40,79,48,26,5,40,65535
121216Spry_Y8_mov,1.762,52.304,40,73,50,27,5,40,65535
