Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, ,
122717Spry_BJ6,66.2,ICM,I,8612,98,283,32,606.649,,430.785,,164.496,,369.635,,84.005,,,
122717Spry_BJ6,67,TE,I,9049,356.6,295.85,34.851,673.67,6.10E+06,158.31,1.43E+06,24.631,2.23E+05,409.81,3.71E+06,100.56,9.10E+05,,
122717Spry_BJ6,68,TE,I,6371,293.74,296.78,36.064,937.03,5.97E+06,193.19,1.23E+06,30.298,1.93E+05,354.5,2.26E+06,108.18,6.89E+05,,
122717Spry_BJ6,69,TE,I,11431,225.77,326.23,37.045,964.25,1.10E+07,159.28,1.82E+06,24.386,2.79E+05,423.28,4.84E+06,89.793,1.03E+06,,
122717Spry_BJ6,70,ICM,I,4900,145.36,334.37,34.071,745.92,3.66E+06,547.31,2.68E+06,40.874,2.00E+05,446.55,2.19E+06,517.06,2.53E+06,,
122717Spry_BJ6,71,TE,I,16659,312.59,120.21,34.591,725.7,1.21E+07,161.8,2.70E+06,26.593,4.43E+05,372.45,6.20E+06,132.95,2.21E+06,,
122717Spry_BJ6,72,TE,I,8998,416.51,278.16,35.788,556.26,5.01E+06,149.81,1.35E+06,25.67,2.31E+05,388.16,3.49E+06,132.5,1.19E+06,,
122717Spry_BJ6,73,TE,I,11331,241.91,111.55,35.844,835.33,9.47E+06,160.85,1.82E+06,29.683,3.36E+05,360.9,4.09E+06,92.548,1.05E+06,,
122717Spry_BJ6,74,TE,I,9129,403.63,193.44,41.116,508.72,4.64E+06,114.25,1.04E+06,22.451,2.05E+05,425.06,3.88E+06,83.933,7.66E+05,,
122717Spry_BJ6,75,TE,I,11143,168.79,352.51,40.808,479.15,5.34E+06,141.57,1.58E+06,23.331,2.60E+05,397.9,4.43E+06,89.639,9.99E+05,,
122717Spry_BJ6,76,TE,I,7291,130.08,189.99,40.828,502.78,3.67E+06,274.07,2.00E+06,29.961,2.18E+05,326.3,2.38E+06,249.39,1.82E+06,,
122717Spry_BJ6,77,ICM,I,16199,63.272,238.79,43.012,424.18,6.87E+06,191.84,3.11E+06,138.24,2.24E+06,380.44,6.16E+06,68.666,1.11E+06,,
122717Spry_BJ6,77.2,ICM,I,16199,92,246,34,650.843,,371.359,,205.813,,403.226,,86.313,,,
122717Spry_BJ6,77.3,ICM,I,16199,81,265,46,270.196,,174.783,,128.917,,392.719,,54.801,,,
122717Spry_BJ6,78,TE,I,10440,158.28,127.96,41.912,769.88,8.04E+06,110.86,1.16E+06,22.182,2.32E+05,411.93,4.30E+06,64.551,6.74E+05,,
122717Spry_BJ6,79,TE,I,5677,400.61,248.77,44.407,575.67,3.27E+06,125.57,7.13E+05,22.105,1.25E+05,407.77,2.31E+06,84.175,4.78E+05,,
122717Spry_BJ6,80,TE,I,12655,250.17,274.22,46.068,657.98,8.33E+06,118.77,1.50E+06,22.674,2.87E+05,433.76,5.49E+06,74.589,9.44E+05,,
122717Spry_BJ6,81,TE,I,19185,102.31,161.53,40.82,402.93,7.73E+06,229.83,4.41E+06,27.465,5.27E+05,364.19,6.99E+06,217.11,4.17E+06,,
122717Spry_BJ6,81.2,ICM,I,19185,99,183,35,571.764,,350.099,,35.284,,357.362,,442.323,,,
122717Spry_BJ6,82,ICM,I,4596,81.641,219.96,42.56,438.92,2.02E+06,226.72,1.04E+06,118.51,5.45E+05,412.28,1.89E+06,70.311,3.23E+05,,
122717Spry_BJ6,83,TE,I,9629,313.17,284.23,45.098,567.67,5.47E+06,140.61,1.35E+06,24.329,2.34E+05,385.16,3.71E+06,89.15,8.58E+05,,
122717Spry_BJ6,84,TE,I,8903,367.94,166.88,48.354,445.54,3.97E+06,80.802,7.19E+05,18.855,1.68E+05,408.55,3.64E+06,65.305,5.81E+05,,
122717Spry_BJ6,85,TE,I,16620,149.1,288.06,47.326,320.44,5.33E+06,109.25,1.82E+06,21.924,3.64E+05,356.4,5.92E+06,85.949,1.43E+06,,
122717Spry_BJ6,85.2,ICM,I,16620,119,283,42,290.402,,216.785,,52.821,,358.517,,202.646,,,
122717Spry_BJ6,86,TE,I,7649,356.02,267.41,50.322,354.54,2.71E+06,72.552,5.55E+05,17.965,1.37E+05,419.56,3.21E+06,62.541,4.78E+05,,
122717Spry_BJ6,87,TE,I,12930,209.87,146.35,52.552,522.28,6.75E+06,82.936,1.07E+06,19.872,2.57E+05,406.47,5.26E+06,64.161,8.30E+05,,
122717Spry_BJ6,88,TE,I,11101,163.7,197.85,52.397,400.19,4.44E+06,69.861,7.76E+05,16.858,1.87E+05,444.04,4.93E+06,47.322,5.25E+05,,
122717Spry_BJ6,89,ICM,I,6145,124.32,224.16,45.786,369.25,2.27E+06,302.72,1.86E+06,37.639,2.31E+05,365.68,2.25E+06,325.68,2.00E+06,,
122717Spry_BJ6,89.2,ICM,I,6145,115,257,39,432.21,,194.224,,146.363,,351.572,,78.166,,,
122717Spry_BJ6,90,TE,I,11634,329.66,152.59,53.585,300.77,3.50E+06,69.476,8.08E+05,18.318,2.13E+05,400.39,4.66E+06,62.14,7.23E+05,,
122717Spry_BJ6,91,TE,I,11358,199.33,242.75,53.932,472.12,5.36E+06,106.29,1.21E+06,21.591,2.45E+05,425.26,4.83E+06,166.05,1.89E+06,,
122717Spry_BJ6,92,TE,I,9273,392.67,197.36,53.903,291.88,2.71E+06,79.007,7.33E+05,19.241,1.78E+05,379.75,3.52E+06,65.588,6.08E+05,,
122717Spry_BJ6,94,TE,I,11912,288.78,254.44,57.064,422.68,5.04E+06,100.49,1.20E+06,19.614,2.34E+05,428.3,5.10E+06,95.235,1.13E+06,,
122717Spry_BJ6,95,TE,I,12712,263.89,146.02,57.575,409.68,5.21E+06,73.686,9.37E+05,18.738,2.38E+05,391.55,4.98E+06,55.547,7.06E+05,,
122717Spry_BJ6,96,TE,I,6220,87.764,234.61,55.042,251.59,1.56E+06,100.57,6.26E+05,38.477,2.39E+05,383.91,2.39E+06,56.422,3.51E+05,,
122717Spry_BJ6,97,TE,I,10162,346.31,224.89,58.391,472.82,4.80E+06,102.98,1.05E+06,19.697,2.00E+05,410.16,4.17E+06,63.053,6.41E+05,,
122717Spry_BJ6,98,TE,I,6912,244.66,199.26,61.772,544.23,3.76E+06,82.194,5.68E+05,19.167,1.32E+05,419.95,2.90E+06,75.287,5.20E+05,,
122717Spry_BJ6,99,TE,I,9354,301.94,187.39,63.033,402.84,3.77E+06,73.785,6.90E+05,18.69,1.75E+05,424.47,3.97E+06,68.391,6.40E+05,,
